,distance_wheelchair,speed_wheelchair,acceleration_wheelchair,distance_tracker,speed_tracker,acceleration_tracker,danger_tracker,distance_drone,speed_drone,acceleration_drone,distance_range,speed_range,acceleration_range,wheelchair_data,drone_data,tracker_data,range_data
4.26,,0.0,0.0,2.3553,0.4397245876280796,-0.8154839443466476,0.79923794206504,,0.0,0.0,2.2847999999999997,0.0,0.0,False,False,False,False
4.27,,0.0,0.0,2.3413,0.4212368862939712,-0.5562644103366128,0.764674726530937,,0.0,0.0,2.2847999999999997,0.0,0.0,False,False,True,False
4.28,,0.0,0.0,2.3413,0.4212368862939712,-0.5562644103366128,0.764674726530937,,0.0,0.0,2.2847999999999997,0.0,0.0,False,False,False,False
4.29,,0.0,0.0,2.3413,0.4212368862939712,-0.5562644103366128,0.764674726530937,,0.0,0.0,2.2847999999999997,0.0,0.0,False,False,False,False
4.3,,0.0,0.0,2.3413,0.4212368862939712,-0.5562644103366128,0.764674726530937,,0.0,0.0,2.2847999999999997,0.0,0.0,False,False,False,False
4.31,,0.0,0.0,2.3276,0.4122897743468789,-0.26925567633014136,0.7494888211394236,,0.0,0.0,2.2847999999999997,0.0,0.0,False,False,False,False
4.32,,0.0,0.0,2.3276,0.4122897743468789,-0.26925567633014136,0.7494888211394236,,0.0,0.0,2.2847999999999997,0.0,0.0,False,False,False,False
4.33,,0.0,0.0,2.3276,0.4122897743468789,-0.26925567633014136,0.7494888211394236,,0.0,0.0,2.2698,0.15204859327073952,0.0,False,False,False,False
4.34,,0.0,0.0,2.3138,0.41093971550107194,-0.04020237666707451,0.7499948065721944,,0.0,0.0,2.2698,0.15204859327073952,0.0,False,False,True,False
4.35,,0.0,0.0,2.3138,0.41093971550107194,-0.04020237666707451,0.7499948065721944,,0.0,0.0,2.2698,0.15204859327073952,0.0,False,False,False,False
4.36,,0.0,0.0,2.3138,0.41093971550107194,-0.04020237666707451,0.7499948065721944,,0.0,0.0,2.2698,0.15204859327073952,0.0,False,False,False,False
4.37,,0.0,0.0,2.2994,0.43712067639082336,0.7947388425478944,0.8081397883673191,,0.0,0.0,2.2698,0.15204859327073952,0.0,False,False,True,False
4.38,,0.0,0.0,2.2994,0.43712067639082336,0.7947388425478944,0.8081397883673191,,0.0,0.0,2.2698,0.15204859327073952,0.0,False,False,False,False
4.39,,0.0,0.0,2.2994,0.43712067639082336,0.7947388425478944,0.8081397883673191,,0.0,0.0,2.2698,0.15204859327073952,0.0,False,False,False,False
4.4,,0.0,0.0,2.2994,0.43712067639082336,0.7947388425478944,0.8081397883673191,,0.0,0.0,2.2698,0.15204859327073952,0.0,False,False,False,False
4.41,,0.0,0.0,2.2845,0.44195394661908727,0.14336126526562307,0.8222090814895826,,0.0,0.0,2.2698,0.15204859327073952,0.0,False,False,True,False
4.42,,0.0,0.0,2.2845,0.44195394661908727,0.14336126526562307,0.8222090814895826,,0.0,0.0,2.2698,0.15204859327073952,0.0,False,False,False,False
4.43,,0.0,0.0,2.2845,0.44195394661908727,0.14336126526562307,0.8222090814895826,,0.0,0.0,2.2538,0.15129801593833822,-0.0070975538250379775,False,False,False,False
4.44,,0.0,0.0,2.2687,0.47628372329916635,1.0348553074187925,0.8992513814959673,,0.0,0.0,2.2538,0.15129801593833822,-0.0070975538250379775,False,False,True,False
4.45,,0.0,0.0,2.2687,0.47628372329916635,1.0348553074187925,0.8992513814959673,,0.0,0.0,2.2538,0.15129801593833822,-0.0070975538250379775,False,False,False,False
4.46,,0.0,0.0,2.2687,0.47628372329916635,1.0348553074187925,0.8992513814959673,,0.0,0.0,2.2538,0.15129801593833822,-0.0070975538250379775,False,False,False,False
