,timestamp,distance_tracker,distance_wheelchair_FT,distance_wheelchair_v5,distance_drone_FT,distance_drone_v5,distance_range
0,3.3169,2.4159,,,2.5181,,
1,3.3269,2.4159,,,2.5181,,
2,3.3369,2.3905,,,2.5181,,
3,3.3469,2.3905,,,,,
4,3.3569,2.3905,,,,,
5,3.3669,2.3658,,,,,
6,3.3769,2.3658,,,,,
7,3.3869,2.3658,,,,,
8,3.3969,2.3658,,,,,
9,3.4069,2.341,,,,,
10,3.4169,2.341,,,2.4947,,
11,3.4269,2.341,,,2.4947,,
12,3.4369,2.3163,,,2.4947,,
13,3.4469,2.3163,,,2.4778,,
14,3.4569,2.3163,,,2.4778,,
15,3.4669,2.3163,,,2.4778,,
16,3.4769,2.2909,,,2.407,,
17,3.4869,2.2909,,,2.407,,
18,3.4969,2.2909,,,2.407,,
19,3.5069,2.2655,,,2.407,,
20,3.5169,2.2655,,,2.3384,,
21,3.5269,2.2655,,,2.3384,,
22,3.5369,2.2391,,,2.3384,,
23,3.5469,2.2391,,,2.3183,,
24,3.5569,2.2391,,,2.3183,,
25,3.5669,2.2391,,,2.3183,,
26,3.5769,2.213,,,2.3183,,
27,3.5869,2.213,,,2.3161,,
28,3.5969,2.213,,,2.3161,,
29,3.6069,2.1862,,,2.3161,,
30,3.6169,2.1862,,,2.3161,,
31,3.6269,2.1862,,,2.3005,,
32,3.6369,2.1597,,,2.3005,,
33,3.6469,2.1597,,,2.282,,
34,3.6569,2.1597,,,2.282,,
35,3.6669,2.1331,,,2.282,,
36,3.6769,2.1331,,,2.282,,
37,3.6869,2.1331,,,2.2532,,
38,3.6969,2.1331,,,2.2532,,
39,3.7069,2.107,,,2.2532,,
40,3.7169,2.107,,,2.1975,,
41,3.7269,2.107,,,2.1975,,
42,3.7369,2.0807,,,2.1975,,
43,3.7469,2.0807,,,2.1539,,
44,3.7569,2.0807,,,2.1539,,
45,3.7669,2.0807,,,2.1539,,
46,3.7769,2.0553,,,2.1539,,
47,3.7869,2.0553,,,2.1539,,
48,3.7969,2.0553,,,2.1539,,
49,3.8069,2.0298,,,2.1401,,
50,3.8169,2.0298,,,,,
51,3.8269,2.0298,,,,,
52,3.8369,2.005,,,,,
53,3.8469,2.005,,,,,
54,3.8569,2.005,,,,,
55,3.8669,2.005,,,,,
56,3.8769,1.9801,,,,,
