,timestamp,distance_tracker,distance_wheelchair_FT,distance_wheelchair_v5,distance_drone_FT,distance_drone_v5,distance_range
0,2.837,2.3122,,,2.6728,,
1,2.847,2.3122,,,2.6728,,
2,2.857,2.3122,,,2.6728,,
3,2.867,2.3122,,,2.6259,,
4,2.877,2.2833,,,2.6259,,
5,2.887,2.2833,,,2.6259,,
6,2.897,2.2833,,,2.6259,,
7,2.907,2.2546,,,2.6052,,
8,2.917,2.2546,,,2.6052,,
9,2.927,2.2546,,,2.6052,,
10,2.937,2.227,,,2.6052,,
11,2.947,2.227,,,,,
12,2.957,2.227,,,,,
13,2.967,2.227,,,,,
14,2.977,2.2004,,,,,
15,2.987,2.2004,,,,,
16,2.997,2.2004,,,,,
17,3.007,2.1749,,,,,
18,3.017,2.1749,,,,,
19,3.027,2.1749,,,,,
20,3.037,2.1505,,,,,
21,3.047,2.1505,,,,,
22,3.057,2.1505,,,,,
23,3.067,2.1265,,,,,
24,3.077,2.1265,,,,,
25,3.087,2.1265,,,,,
26,3.097,2.1265,,,,,
27,3.107,2.1028,,,,,
28,3.117,2.1028,,,,,
29,3.127,2.1028,,,,,
30,3.137,2.0788,,,,,
31,3.147,2.0788,,,,,
32,3.157,2.0788,,,,,
33,3.167,2.0788,,,,,
34,3.177,2.0543,,,2.356,,
35,3.187,2.0543,,,2.356,,
36,3.197,2.0543,,,2.3413,,
37,3.207,2.0292,,,2.3413,,
38,3.217,2.0292,,,2.3413,,
39,3.227,2.0292,,,2.3122,,
40,3.237,2.0034,,,2.3122,,
41,3.247,2.0034,,,2.3122,,
42,3.257,2.0034,,,2.3122,,
43,3.267,2.0034,,,2.2893,,
44,3.277,1.9771,,,2.2893,,
45,3.287,1.9771,,,2.2893,,
46,3.297,1.9771,,,2.2652,,
47,3.307,1.9504,,,2.2652,,
48,3.317,1.9504,,,2.2652,,
49,3.327,1.9504,,,,,
50,3.337,1.9235,,,,,
51,3.347,1.9235,,,,,
52,3.357,1.9235,,,,,
53,3.367,1.9235,,,,,
54,3.377,1.8968,,,,,
55,3.387,1.8968,,,,,
56,3.397,1.8968,,,2.1689,,
57,3.407,1.8703,,,2.1689,,
58,3.417,1.8703,,,2.1689,,
59,3.427,1.8703,,,2.1689,,
60,3.437,1.8443,,,,,
61,3.447,1.8443,,,,,
62,3.457,1.8443,,,,,
63,3.467,1.8443,,,,,
64,3.477,1.8187,,,,,
65,3.487,1.8187,,,,,
66,3.497,1.8187,,,,,
