,timestamp,distance_tracker,distance_wheelchair_FT,distance_wheelchair_v5,distance_drone_FT,distance_drone_v5,distance_range
0,3.0363,2.2992,,,2.3605,,
1,3.0463,2.2992,,,2.3605,,
2,3.0563,2.2992,,,2.3605,,
3,3.0663,2.2992,,,2.3605,,
4,3.0763,2.2784,,,2.3323,,
5,3.0863,2.2784,,,2.3323,,
6,3.0963,2.2784,,,2.3323,,
7,3.1063,2.2578,,,2.3057,,
8,3.1163,2.2578,,,2.3057,,
9,3.1263,2.2578,,,2.3057,,
10,3.1363,2.2384,,,2.285,,
11,3.1463,2.2384,,,2.285,,
12,3.1563,2.2384,,,2.285,,
13,3.1663,2.2384,,,2.285,,
14,3.1763,2.2194,,,2.285,,
15,3.1863,2.2194,,,2.285,,
16,3.1963,2.2194,,,2.285,,
17,3.2063,2.2012,,,,,
18,3.2163,2.2012,,,,,
19,3.2263,2.2012,,,,,
20,3.2363,2.1829,,,,,
21,3.2463,2.1829,,,,,
22,3.2563,2.1829,,,,,
23,3.2663,2.1829,,,2.2614,,
24,3.2763,2.1651,,,2.2614,,
25,3.2863,2.1651,,,2.2614,,
26,3.2963,2.1651,,,2.2614,,
27,3.3063,2.1466,,,2.241,,
28,3.3163,2.1466,,,2.241,,
29,3.3263,2.1466,,,2.241,,
30,3.3363,2.1281,,,2.1814,,
31,3.3463,2.1281,,,2.1814,,
32,3.3563,2.1281,,,2.1814,,
33,3.3663,2.1281,,,2.1449,,
34,3.3763,2.1089,,,2.1449,,
35,3.3863,2.1089,,,2.1449,,
36,3.3963,2.1089,,,2.1449,,
37,3.4063,2.0897,,,2.151,,
38,3.4163,2.0897,,,2.151,,
39,3.4263,2.0897,,,2.151,,
40,3.4363,2.0693,,,2.1408,,
41,3.4463,2.0693,,,2.1408,,
42,3.4563,2.0693,,,2.1408,,
43,3.4663,2.0494,,,2.0615,,
44,3.4763,2.0494,,,2.0615,,
45,3.4863,2.0494,,,2.0615,,
46,3.4963,2.0494,,,2.0615,,
47,3.5063,2.0289,,,,,
48,3.5163,2.0289,,,,,
49,3.5263,2.0289,,,,,
50,3.5363,2.009,,,,,
51,3.5463,2.009,,,,,
52,3.5563,2.009,,,,,
53,3.5663,2.009,,,2.0277,,
54,3.5763,1.9892,,,2.0277,,
55,3.5863,1.9892,,,2.0277,,
56,3.5963,1.9892,,,,,
57,3.6063,1.9712,,,,,
58,3.6163,1.9712,,,,,
59,3.6263,1.9712,,,,,
60,3.6363,1.9539,,,,,
61,3.6463,1.9539,,,,,
62,3.6563,1.9539,,,,,
63,3.6663,1.9539,,,1.9915,,
64,3.6763,1.9386,,,1.9915,,
65,3.6863,1.9386,,,1.9915,,
66,3.6963,1.9386,,,1.9915,,
67,3.7063,1.9243,,,,,
68,3.7163,1.9243,,,,,
69,3.7263,1.9243,,,,,
70,3.7363,1.9111,,,,,
71,3.7463,1.9111,,,,,
72,3.7563,1.9111,,,,,
73,3.7663,1.9111,,,1.9452,,
74,3.7763,1.8979,,,1.9452,,
75,3.7863,1.8979,,,1.9452,,
76,3.7963,1.8979,,,,,
77,3.8063,1.8848,,,,,
78,3.8163,1.8848,,,,,
79,3.8263,1.8848,,,,,
80,3.8363,1.8707,,,,,
81,3.8463,1.8707,,,,,
82,3.8563,1.8707,,,,,
83,3.8663,1.8707,,,,,
84,3.8763,1.8558,,,,,
