,timestamp,distance_tracker,distance_wheelchair_FT,distance_wheelchair_v5,distance_drone_FT,distance_drone_v5,distance_range
0,4.1235,2.4023,,,2.7846,,
1,4.1335,2.4023,,,2.7846,,
2,4.1435,2.3856,,,2.7846,,
3,4.1535,2.3856,,,2.7846,,
4,4.1635,2.3856,,,2.7463,,
5,4.1735,2.37,,,2.7463,,
6,4.1835,2.37,2.4292,,2.7463,,
7,4.1935,2.37,2.4292,,2.7463,,
8,4.2035,2.3553,2.4292,,2.7141,,
9,4.2135,2.3553,2.4292,,2.7141,,
10,4.2235,2.3553,2.4263,,2.7141,,
11,4.2335,2.3413,2.4263,,2.6913,,
12,4.2435,2.3413,2.4263,,2.6913,,
13,4.2535,2.3413,2.3925,,2.6913,,
14,4.2635,2.3413,2.3925,,2.6913,,
15,4.2735,2.3276,2.3925,,2.6784,,
16,4.2835,2.3276,2.414,,2.6784,,
17,4.2935,2.3276,2.414,,2.6784,,
18,4.3035,2.3138,2.414,,2.659,,
19,4.3135,2.3138,2.414,,2.659,,
20,4.3235,2.3138,,,2.659,,
21,4.3335,2.2994,,,2.6029,,
22,4.3435,2.2994,,,2.6029,,
23,4.3535,2.2994,,,2.6029,,
24,4.3635,2.2994,,,2.5986,,
25,4.3735,2.2845,,,2.5986,,
26,4.3835,2.2845,,,2.5986,,
27,4.3935,2.2845,2.418,,2.5986,,
28,4.4035,2.2687,2.418,,2.5926,,
29,4.4135,2.2687,2.418,,2.5926,,
30,4.4235,2.2687,,,2.5926,,
31,4.4335,2.2523,,,2.5406,,
32,4.4435,2.2523,,,2.5406,,
33,4.4535,2.2523,,,2.5406,,
34,4.4635,2.2523,,,2.539,,
35,4.4735,2.2354,,,2.539,,
36,4.4835,2.2354,,,2.539,,
37,4.4935,2.2354,,,2.539,,
38,4.5035,2.2182,,,2.5335,,
39,4.5135,2.2182,,,2.5335,,
40,4.5235,2.2182,2.305,,2.5335,,
41,4.5335,2.201,2.305,,2.5335,,
42,4.5435,2.201,2.305,,2.5039,,
43,4.5535,2.201,,,2.5039,,
44,4.5635,2.201,,,2.5039,,
45,4.5735,2.1841,,,2.483,,
46,4.5835,2.1841,,,2.483,,
47,4.5935,2.1841,,,2.483,,
48,4.6035,2.1676,,,2.487,,
49,4.6135,2.1676,,,2.487,,
50,4.6235,2.1676,,,2.487,,
51,4.6335,2.1514,,,2.5021,,
52,4.6435,2.1514,,,2.5021,,
53,4.6535,2.1514,,,2.5021,,
54,4.6635,2.1514,,,2.5085,,
55,4.6735,2.1359,,,2.5085,,
56,4.6835,2.1359,,,2.5085,,
57,4.6935,2.1359,2.1227,,2.4682,,
58,4.7035,2.1209,2.1227,,2.4682,,
59,4.7135,2.1209,2.1227,,2.4682,,
60,4.7235,2.1209,,,2.4264,,
61,4.7335,2.1209,,,2.4264,,
62,4.7435,2.1063,,,2.4264,,
63,4.7535,2.1063,,,2.4264,,
64,4.7635,2.1063,,,2.4026,,
65,4.7735,2.0917,,,2.4026,,
66,4.7835,2.0917,,,2.4026,,
67,4.7935,2.0917,,,2.3701,,
68,4.8035,2.0772,,,2.3701,,
69,4.8135,2.0772,,,2.3701,,
70,4.8235,2.0772,,,2.3701,,
71,4.8335,2.0772,,,2.3672,,
72,4.8435,2.0624,,,2.3672,,
73,4.8535,2.0624,,,2.3672,,
74,4.8635,2.0624,,,2.3394,,
75,4.8735,2.0473,,,2.3394,,
76,4.8835,2.0473,,,2.3394,,
77,4.8935,2.0473,,,2.3394,,
78,4.9035,2.0317,,,2.3183,,
79,4.9135,2.0317,,,2.3183,,
80,4.9235,2.0317,,,2.3183,,
81,4.9335,2.0158,,,2.34,,
82,4.9435,2.0158,,,2.34,,
83,4.9535,2.0158,,,2.34,,
84,4.9635,2.0158,,,2.3284,,
85,4.9735,1.9997,,,2.3284,,
86,4.9835,1.9997,,,2.3284,,
87,4.9935,1.9997,,,2.3159,,
88,5.0035,1.9835,,,2.3159,,
89,5.0135,1.9835,,,2.3159,,
90,5.0235,1.9835,,,2.3159,,
91,5.0335,1.9675,,,2.3061,,
92,5.0435,1.9675,,,2.3061,,
93,5.0535,1.9675,1.8954,,2.3061,,
94,5.0635,1.9675,1.8954,,2.2865,,
95,5.0735,1.9512,1.8954,,2.2865,,
96,5.0835,1.9512,1.8873,,2.2865,,
97,5.0935,1.9512,1.8873,,2.2865,,1.9544
98,5.1035,1.9355,1.8873,,2.2663,,1.9544
99,5.1135,1.9355,1.8873,,2.2663,,1.9544
100,5.1235,1.9355,1.8863,,2.2663,,1.9544
101,5.1335,1.9355,1.8863,,2.2402,,1.9544
102,5.1435,1.9202,1.8863,,2.2402,,1.9544
103,5.1535,1.9202,1.8665,,2.2402,,1.9544
