timestamp,distance_tracker,distance_wheelchair_FT,distance_wheelchair_v5,distance_drone_FT,distance_drone_v5,distance_range
3.5735,2.5526,,,2.8629,,
3.5835,2.5526,,,2.8629,,
3.5935,2.5526,,,2.8629,,
3.6035,2.5433,,,2.8995,,
3.6135,2.5433,,,2.8995,,
3.6235,2.5433,,,2.8995,,
3.6335,2.5315,,,,,
3.6435,2.5315,,,,,
3.6535,2.5315,,,,,
3.6635,2.5315,,,,,
3.6735,2.5172,,,,,
3.6835,2.5172,,,,,
3.6935,2.5172,,,,,
3.7035,2.5001,,,,,
3.7135,2.5001,,,,,
3.7235,2.5001,,,,,
3.7335,2.4803,,,2.7575,,
3.7435,2.4803,,,2.7575,,
3.7535,2.4803,,,2.7575,,
3.7635,2.4803,,,2.7575,,
3.7735,2.4579,,,2.7723,,
3.7835,2.4579,,,2.7723,,
3.7935,2.4579,,,2.7723,,
3.8035,2.4331,,,2.7481,,
3.8135,2.4331,,,2.7481,,
3.8235,2.4331,2.7176,,2.7481,,
3.8335,2.4062,2.7176,,2.7835,,
3.8435,2.4062,2.7176,,2.7835,,
3.8535,2.4062,2.7176,,2.7835,,
3.8635,2.4062,2.5277,,2.7835,,
3.8735,2.3777,2.5277,,2.7873,,
3.8835,2.3777,2.5277,,2.7873,,
3.8935,2.3777,2.6083,,2.7873,,
3.9035,2.3481,2.6083,,2.7327,,
3.9135,2.3481,2.6083,,2.7327,,
3.9235,2.3481,2.5989,,2.7327,,
3.9335,2.3183,2.5989,,2.6492,,
3.9435,2.3183,2.5989,,2.6492,,
3.9535,2.3183,2.5989,,2.6492,,
3.9635,2.3183,2.4914,,2.6492,,
3.9735,2.2888,2.4914,,2.6075,,
3.9835,2.2888,2.4914,,2.6075,,
3.9935,2.2888,,,2.6075,,
4.0035,2.2603,,,2.5875,,
4.0135,2.2603,,,2.5875,,
4.0235,2.2603,,,2.5875,,
4.0335,2.2603,,,2.5741,,
4.0435,2.2329,,,2.5741,,
4.0535,2.2329,2.4588,,2.5741,,
4.0635,2.2329,2.4588,,2.5741,,
4.0735,2.2069,2.4588,,2.5915,,
4.0835,2.2069,2.4588,,2.5915,,
4.0935,2.2069,2.4075,,2.5915,,
4.1035,2.1821,2.4075,,2.5382,,
4.1135,2.1821,2.4075,,2.5382,,
4.1235,2.1821,2.2958,,2.5382,,
4.1335,2.1821,2.2958,,2.5382,,
4.1435,2.1582,2.2958,,2.4779,,
4.1535,2.1582,2.2958,,2.4779,,
4.1635,2.1582,2.3249,,2.4779,,
4.1735,2.1346,2.3249,,2.4448,,
4.1835,2.1346,2.3249,,2.4448,,
4.1935,2.1346,2.3459,,2.4448,,
4.2035,2.111,2.3459,,2.4368,,
4.2135,2.111,2.3459,,2.4368,,
4.2235,2.111,2.265,,2.4368,,
4.2335,2.0871,2.265,,2.3919,,
4.2435,2.0871,2.265,,2.3919,,
4.2535,2.0871,2.265,,2.3919,,
4.2635,2.0871,2.1936,,2.3919,,
4.2735,2.0626,2.1936,,2.3268,,
4.2835,2.0626,2.1936,,2.3268,,
4.2935,2.0626,2.1537,,2.3268,,
4.3035,2.0373,2.1537,,2.3806,,
4.3135,2.0373,2.1537,,2.3806,,
4.3235,2.0373,2.1338,,2.3806,,
4.3335,2.0113,2.1338,,2.3806,,
4.3435,2.0113,2.1338,,2.3894,,
4.3535,2.0113,2.1338,,2.3894,,
4.3635,2.0113,2.1558,,2.3357,,
4.3735,1.9847,2.1558,,2.3357,,
4.3835,1.9847,2.1558,,2.3357,,
4.3935,1.9847,2.14,,2.3357,,
4.4035,1.9577,2.14,,2.264,,
4.4135,1.9577,2.14,,2.264,,
4.4235,1.9577,2.0689,,2.264,,
4.4335,1.9577,2.0689,,2.2167,,
4.4435,1.9305,2.0689,,2.2167,,
4.4535,1.9305,2.0034,,2.2167,,
4.4635,1.9305,2.0034,,2.2167,,
4.4735,1.9035,2.0034,,2.2017,,
4.4835,1.9035,2.0034,,2.2017,,
4.4935,1.9035,,,2.1467,,
4.5035,1.8769,,,2.1467,,
4.5135,1.8769,,,2.1467,,
4.5235,1.8769,,,2.1467,,
4.5335,1.8508,,,2.1159,,
4.5435,1.8508,,,2.1159,,
4.5535,1.8508,,,2.1159,,
4.5635,1.8508,1.962,,2.1159,,1.9182
4.5735,1.8253,1.962,,2.0521,,1.9182
4.5835,1.8253,1.962,,2.0521,,1.9182
