,timestamp,distance_tracker,distance_wheelchair_FT,distance_wheelchair_v5,distance_drone_FT,distance_drone_v5,distance_range
0,3.6934,2.325,,,2.5394,,
1,3.7034,2.3,,,2.5394,,
2,3.7134,2.3,,,2.5394,,
3,3.7234,2.3,,,2.5394,,
4,3.7334,2.3,,,2.5028,,
5,3.7434,2.2743,,,2.5028,,
6,3.7534,2.2743,,,2.5028,,
7,3.7634,2.2743,,,2.4835,,
8,3.7734,2.2487,,,2.4835,,
9,3.7834,2.2487,,,2.4835,,
10,3.7934,2.2487,,,2.4542,,
11,3.8034,2.2223,,,2.4542,,
12,3.8134,2.2223,,,2.4542,,
13,3.8234,2.2223,,,2.4156,,
14,3.8334,2.196,,,2.4156,,
15,3.8434,2.196,,,2.4156,,
16,3.8534,2.196,,,2.4156,,
17,3.8634,2.196,,,2.382,,
18,3.8734,2.1691,,,2.382,,
19,3.8834,2.1691,,,2.382,,
20,3.8934,2.1691,,,2.3446,,
21,3.9034,2.1427,,,2.3446,,
22,3.9134,2.1427,,,2.3446,,
23,3.9234,2.1427,,,2.3446,,
24,3.9334,2.1427,,,2.3027,,
25,3.9434,2.1159,,,2.3027,,
26,3.9534,2.1159,,,2.3027,,
27,3.9634,2.1159,,,2.2738,,
28,3.9734,2.0898,,,2.2738,,
29,3.9834,2.0898,,,2.2738,,
30,3.9934,2.0898,,,2.2667,,
31,4.0034,2.0634,,,2.2667,,
32,4.0134,2.0634,,,2.2667,,
33,4.0234,2.0634,,,2.2667,,
34,4.0334,2.0634,,,2.2567,,
35,4.0434,2.0378,,,2.2567,,
36,4.0534,2.0378,,,2.2567,,
37,4.0634,2.0378,,,2.2312,,
38,4.0734,2.0121,,,2.2312,,
39,4.0834,2.0121,,,2.2312,,
40,4.0934,2.0121,,,2.2312,,
41,4.1034,1.9871,,,2.1677,,
42,4.1134,1.9871,,,2.1677,,
43,4.1234,1.9871,,,2.1122,,
44,4.1334,1.9871,,,2.1122,,
45,4.1434,1.962,,,2.1122,,
46,4.1534,1.962,,,2.085,,
47,4.1634,1.962,,,2.085,,
48,4.1734,1.9375,,,2.085,,
49,4.1834,1.9375,,,2.085,,
50,4.1934,1.9375,1.9812,,2.0494,,
51,4.2034,1.9123,1.9812,,2.0494,,
52,4.2134,1.9123,1.9293,,2.0494,,
53,4.2234,1.9123,1.9293,,,,
54,4.2334,1.8876,1.9293,,,,
55,4.2434,1.8876,1.9293,,,,
56,4.2534,1.8876,1.877,,,,
57,4.2634,1.8876,1.877,,,,
58,4.2734,1.8621,1.877,,,,
59,4.2834,1.8621,1.8608,,,,
60,4.2934,1.8621,1.8608,,,,
61,4.3034,1.8369,1.8608,,,,
62,4.3134,1.8369,1.8628,,,,
63,4.3234,1.8369,1.8628,,,,
64,4.3334,1.811,1.8628,,,,
65,4.3434,1.811,1.8628,,,,
66,4.3534,1.811,1.834,,,,
67,4.3634,1.811,1.834,,,,
68,4.3734,1.7856,1.834,,,,
69,4.3834,1.7856,1.834,,,,
70,4.3934,1.7856,1.7974,,,,
71,4.4034,1.7595,1.7974,,,,
72,4.4134,1.7595,1.7666,,,,
73,4.4234,1.7595,1.7666,,,,
74,4.4334,1.7595,1.7666,,,,
75,4.4434,1.7342,1.7666,,,,
76,4.4534,1.7342,1.7262,,,,
77,4.4634,1.7342,1.7262,,1.8205,,
78,4.4734,1.7085,1.7262,,1.8205,,
79,4.4834,1.7085,1.7002,,1.8205,,
80,4.4934,1.7085,1.7002,,1.8027,,
81,4.5034,1.6835,1.7002,,1.8027,,
82,4.5134,1.6835,1.6827,,1.8027,,
83,4.5234,1.6835,1.6827,,1.8027,,
84,4.5334,1.6835,1.6827,,1.8027,,
85,4.5434,1.6583,1.6827,,,,
86,4.5534,1.6583,1.6501,,,,
87,4.5634,1.6583,1.6501,,,,
88,4.5734,1.6338,1.6501,,,,
89,4.5834,1.6338,1.6501,,,,
90,4.5934,1.6338,1.6501,,,,
91,4.6034,1.6091,1.6501,,,,
92,4.6134,1.6091,,,,,
93,4.6234,1.6091,,,,,
94,4.6334,1.5847,,,,,
95,4.6434,1.5847,,,,,
96,4.6534,1.5847,,,,,
97,4.6634,1.5847,,,1.6608,,
98,4.6734,1.5607,,,1.6608,,
99,4.6834,1.5607,,,1.6608,,
100,4.6934,1.5607,,,,,
101,4.7034,1.5362,,,,,
102,4.7134,1.5362,,,,,
103,4.7234,1.5362,,,,,
104,4.7334,1.5362,,,,,
105,4.7434,1.512,,,,,
106,4.7534,1.512,,,,,
107,4.7634,1.512,,,,,
108,4.7734,1.4875,,,,,
109,4.7834,1.4875,,,,,
110,4.7934,1.4875,,,,,
111,4.8034,1.4631,,,,,
112,4.8134,1.4631,,,,,
113,4.8234,1.4631,,,,,
114,4.8334,1.4383,,,,,
115,4.8434,1.4383,,,,,
116,4.8534,1.4383,,1.4453,,,
117,4.8634,1.4383,,1.4453,,,
118,4.8734,1.414,,1.4453,,,
119,4.8834,1.414,,1.4236,,,
120,4.8934,1.414,,1.4236,,1.524,
121,4.9034,1.3893,,1.4236,,1.524,
122,4.9134,1.3893,,1.3889,,1.524,
123,4.9234,1.3893,,1.3889,,1.524,
