timestamp,distance_tracker,distance_wheelchair_FT,distance_wheelchair_v5,distance_drone_FT,distance_drone_v5,distance_range
1.9399,2.5556,,,2.9418,,
1.9499,2.5556,,,2.9418,,
1.9599,2.5556,,,2.9418,,
1.9699,2.5454,,,2.9507,,
1.9799,2.5454,,,2.9507,,
1.9899,2.5454,,,2.9507,,
1.9999,2.5454,,,2.9507,,
2.0099,2.5327,,,2.9519,,
2.0199,2.5327,2.6313,,2.9519,,
2.0299,2.5327,2.6313,,2.951,,
2.0399,2.5178,2.6313,,2.951,,
2.0499,2.5178,2.6313,,2.951,,
2.0599,2.5178,2.6313,,2.951,,
2.0699,2.501,2.6313,,2.951,,
2.0799,2.501,2.6313,,2.9575,,
2.0899,2.501,2.6313,,2.9575,,
2.0999,2.501,2.6165,,2.9575,,
2.1099,2.4825,2.6165,,2.9389,,
2.1199,2.4825,2.6533,,2.9389,,
2.1299,2.4825,2.6533,,2.9389,,
2.1399,2.4631,2.6533,,2.9097,,
2.1499,2.4631,2.6533,,2.9097,,
2.1599,2.4631,2.6762,,2.9097,,
2.1699,2.4433,2.6762,,2.8909,,
2.1799,2.4433,2.6762,,2.8909,,
2.1899,2.4433,2.6762,,2.8909,,
2.1999,2.4239,2.6527,,2.8822,,
2.2099,2.4239,2.6527,,2.8822,,
2.2199,2.4239,2.5931,,2.8822,,
2.2299,2.4239,2.5931,,2.8822,,
2.2399,2.4054,2.5931,,2.8618,,
2.2499,2.4054,2.5931,,2.8618,,
2.2599,2.4054,2.5535,,2.8618,,
2.2699,2.3883,2.5535,,2.8422,,
2.2799,2.3883,2.5535,,2.8422,,
2.2899,2.3883,2.5535,,2.8422,,
2.2999,2.3722,2.5886,,2.8353,,
2.3099,2.3722,2.5886,,2.8353,,
2.3199,2.3722,2.5542,,2.8353,,
2.3299,2.3722,2.5542,,2.8177,,
2.3399,2.3575,2.5542,,2.8177,,
2.3499,2.3575,2.5542,,2.8177,,
2.3599,2.3575,2.5009,,2.8177,,
2.3699,2.3437,2.5009,,2.7948,,
2.3799,2.3437,2.5009,,2.7948,,
2.3899,2.3437,2.5009,,2.7948,,
2.3999,2.3437,2.4899,,2.7775,,
2.4099,2.3302,2.4899,,2.7775,,
2.4199,2.3302,2.4753,,2.7775,,
2.4299,2.3302,2.4753,,2.7775,,
2.4399,2.3168,2.4753,,2.7592,,
2.4499,2.3168,2.4753,,2.7592,,
2.4599,2.3168,2.4753,,2.7592,,
2.4699,2.3029,2.4592,,2.7482,,
2.4799,2.3029,2.4592,,2.7482,,
2.4899,2.3029,2.4421,,2.7482,,
2.4999,2.2883,2.4421,,2.7416,,
2.5099,2.2883,2.4421,,2.7416,,
2.5199,2.2883,2.4421,,2.7416,,
2.5299,2.2883,2.4274,,2.7416,,
2.5399,2.2727,2.4274,,2.7227,,
2.5499,2.2727,2.4274,,2.7227,,
2.5599,2.2727,2.4274,,2.7227,,
2.5699,2.2565,2.4337,,2.7038,,
2.5799,2.2565,2.4337,,2.7038,,
2.5899,2.2565,2.4503,,2.7038,,
2.5999,2.2565,2.4503,,2.6873,,
2.6099,2.2394,2.4503,,2.6873,,
2.6199,2.2394,2.4534,,2.6873,,
2.6299,2.2394,2.4534,,2.6873,,
2.6399,2.222,2.4534,,2.6614,,
2.6499,2.222,2.4534,,2.6614,,
2.6599,2.222,2.4353,,2.6614,,
2.6699,2.2046,2.4353,,2.6155,,
2.6799,2.2046,2.4353,,2.6155,,
2.6899,2.2046,2.4426,,2.6155,,
2.6999,2.2046,2.4426,,2.6155,,
2.7099,2.1873,2.4426,,2.5774,,
2.7199,2.1873,2.36,,2.5774,,
2.7299,2.1873,2.36,,2.5774,,
2.7399,2.1703,2.36,,2.5577,,
2.7499,2.1703,2.36,,2.5577,,
2.7599,2.1703,2.2449,,2.5577,,
2.7699,2.1541,2.2449,,2.5577,,
2.7799,2.1541,2.2449,,2.5335,,
2.7899,2.1541,2.2214,,2.5335,,
2.7999,2.1384,2.2214,,2.5335,,
2.8099,2.1384,2.2214,,2.5094,,
2.8199,2.1384,2.2106,,2.5094,,
2.8299,2.1384,2.2106,,2.5094,,
2.8399,2.1232,2.2106,,2.4897,,
2.8499,2.1232,2.2174,,2.4897,,
2.8599,2.1232,2.2174,,2.4897,,
2.8699,2.1084,2.2174,,2.4685,,
2.8799,2.1084,2.2174,,2.4685,,
2.8899,2.1084,2.2047,,2.4685,,
2.8999,2.1084,2.2047,,2.4597,,
2.9099,2.0941,2.2047,,2.4597,,
2.9199,2.0941,2.1922,,2.4597,,
2.9299,2.0941,2.1922,,2.4597,,
2.9399,2.0795,2.1922,,2.4674,,
2.9499,2.0795,2.1922,,2.4674,,
2.9599,2.0795,2.197,,2.4674,,
2.9699,2.065,2.197,,2.451,,
2.9799,2.065,2.197,,2.451,,
2.9899,2.065,2.2024,,2.451,,
2.9999,2.065,2.2024,,2.4175,,
3.0099,2.05,2.2024,,2.4175,,
3.0199,2.05,2.2024,,2.4175,,
3.0299,2.05,2.2098,,2.4052,,
3.0399,2.0347,2.2098,,2.4052,,
3.0499,2.0347,2.2098,,2.4052,,
3.0599,2.0347,2.1189,,2.4052,,
3.0699,2.0189,2.1189,,2.3954,,
3.0799,2.0189,2.1189,,2.3954,,
3.0899,2.0189,2.1189,,2.3954,,
3.0999,2.0189,2.0522,,2.3715,,
3.1099,2.0027,2.0522,,2.3715,,
3.1199,2.0027,2.0522,,2.3715,,
3.1299,2.0027,2.0522,,2.3569,,
3.1399,1.9866,2.0522,,2.3569,,
3.1499,1.9866,2.0625,,2.3569,,
3.1599,1.9866,2.0355,,2.3569,,
3.1699,1.9702,2.0355,,2.3377,,
3.1799,1.9702,2.0355,,2.3377,,
3.1899,1.9702,2.0528,,2.3377,,
3.1999,1.9702,2.0528,,2.3178,,
3.2099,1.9539,2.0528,,2.3178,,
3.2199,1.9539,1.9856,,2.3178,,
3.2299,1.9539,1.9856,,2.3075,,
3.2399,1.938,1.9856,,2.3075,,
3.2499,1.938,1.9856,,2.3075,,
3.2599,1.938,1.878,,2.3075,,
3.2699,1.9222,1.878,,2.2662,,
3.2799,1.9222,1.878,,2.2662,,
3.2899,1.9222,2.0121,,2.2662,,
3.2999,1.9222,2.0121,,2.2236,,
3.3099,1.9068,2.0121,,2.2236,,
3.3199,1.9068,2.0554,,2.2236,,
3.3299,1.9068,2.0554,,2.2115,,
3.3399,1.8916,2.0554,,2.2115,,
3.3499,1.8916,2.0554,,2.2115,,
3.3599,1.8916,1.9538,,2.2115,,
3.3699,1.8766,1.9538,,2.2057,,
3.3799,1.8766,1.9538,,2.2057,,
3.3899,1.8766,1.9853,,2.2057,,
3.3999,1.8766,1.9853,,2.197,,
3.4099,1.8615,1.9853,,2.197,,
3.4199,1.8615,2.0242,,2.197,,
3.4299,1.8615,2.0242,,2.1766,,1.9618
3.4399,1.8467,2.0242,,2.1766,,1.9618
3.4499,1.8467,2.0242,,2.1766,,1.9618
3.4599,1.8467,2.0304,,2.1766,,1.9618
3.4699,1.8316,2.0304,,2.1508,,1.9618
3.4799,1.8316,2.0304,,2.1508,,1.9618
3.4899,1.8316,1.9069,,2.1508,,1.9618
3.4999,1.8316,1.9069,,2.1189,,1.9618
3.5099,1.8165,1.9069,,2.1189,,1.9618
3.5199,1.8165,1.8235,1.8466,2.1189,,1.9618
3.5299,1.8165,1.8235,1.8466,2.1189,,1.824
3.5399,1.8014,1.8235,1.8466,2.0863,,1.824
3.5499,1.8014,1.8637,1.8682,2.0863,,1.824
3.5599,1.8014,1.8637,1.8682,2.0863,,1.824
3.5699,1.7858,1.8637,1.8682,2.0692,,1.824
3.5799,1.7858,1.8637,1.8682,2.0692,,1.824
3.5899,1.7858,1.8619,1.8463,2.0692,,1.824
3.5999,1.7858,1.8619,1.8463,2.0619,,1.824
3.6099,1.7706,1.8619,1.8463,2.0619,,1.824
3.6199,1.7706,1.8499,,2.0619,,1.824
3.6299,1.7706,1.8499,,2.0619,,1.734
3.6399,1.7552,1.8499,,2.0517,,1.734
3.6499,1.7552,1.8499,,2.0517,,1.734
3.6599,1.7552,1.8479,,2.0517,,1.734
3.6699,1.7397,1.8479,,2.0343,,1.734
3.6799,1.7397,1.8479,,2.0343,,1.734
3.6899,1.7397,1.7663,,2.0343,,1.734
3.6999,1.7397,1.7663,,2.0024,,1.734
3.7099,1.7245,1.7663,,2.0024,,1.734
3.7199,1.7245,1.6721,,2.0024,,1.734
3.7299,1.7245,1.6721,,1.9734,,1.734
3.7399,1.7092,1.6721,,1.9734,,1.6496
3.7499,1.7092,1.6721,,1.9734,,1.6496
3.7599,1.7092,,,1.9734,,1.6496
3.7699,1.694,,,1.9626,,1.6496
3.7799,1.694,,,1.9626,,1.6496
3.7899,1.694,,,1.9626,,1.6496
3.7999,1.694,,1.7195,1.9472,,1.6496
3.8099,1.6789,,1.7195,1.9472,,1.6496
3.8199,1.6789,,1.6678,1.9472,,1.6496
3.8299,1.6789,,1.6678,1.927,,1.6496
3.8399,1.6639,,1.6678,1.927,,1.6496
3.8499,1.6639,,1.6678,1.927,,1.6496
3.8599,1.6639,,1.6238,1.927,,1.6496
3.8699,1.6491,,1.6238,1.9052,,1.5714
3.8799,1.6491,,1.6238,1.9052,,1.5714
3.8899,1.6491,,1.6238,1.9052,,1.5714
3.8999,1.6491,,1.6126,1.9052,,1.5714
3.9099,1.6344,,1.6126,1.8823,,1.5714
3.9199,1.6344,1.5857,1.5983,1.8823,,1.5714
3.9299,1.6344,1.5857,1.5983,1.8622,,1.5714
3.9399,1.6196,1.5857,1.5983,1.8622,,1.5714
3.9499,1.6196,,1.5714,1.8622,,1.5714
3.9599,1.6196,,1.5714,1.8622,,1.5714
3.9699,1.6049,,1.5714,1.8542,,1.5714
3.9799,1.6049,,1.5714,1.8542,,1.5714
3.9899,1.6049,,1.5583,1.8542,,1.4942
3.9999,1.6049,,1.5583,1.8483,,1.4942
4.0099,1.5903,,1.5583,1.8483,,1.4942
4.0199,1.5903,,1.5472,1.8483,,1.4942
4.0299,1.5903,,1.5472,1.8113,,1.4942
