,timestamp,distance_tracker,distance_wheelchair_FT,distance_wheelchair_v5,distance_drone_FT,distance_drone_v5,distance_range
0,3.5139,2.2691,,,2.5947,,
1,3.5239,2.2691,,,2.5947,,
2,3.5339,2.2415,,,2.5947,,
3,3.5439,2.2415,2.5147,,2.5947,,
4,3.5539,2.2415,2.5147,,2.5358,,
5,3.5639,2.2415,2.4839,,2.5358,,
6,3.5739,2.2152,2.4839,,2.5358,,
7,3.5839,2.2152,2.4839,,2.4896,,
8,3.5939,2.2152,2.4839,,2.4896,,
9,3.6039,2.19,2.4839,,2.4896,,
10,3.6139,2.19,2.5056,,2.4896,,
11,3.6239,2.19,2.5056,,2.4676,,
12,3.6339,2.1656,2.4676,,2.4676,,
13,3.6439,2.1656,2.4676,,2.4676,,
14,3.6539,2.1656,2.4676,,2.4133,,
15,3.6639,2.1656,2.4676,,2.4133,,
16,3.6739,2.1417,2.3786,,2.4133,,
17,3.6839,2.1417,2.3786,,2.3727,,
18,3.6939,2.1417,2.3786,,2.3727,,
19,3.7039,2.1179,2.3472,,2.3727,,
20,3.7139,2.1179,2.3472,,2.3901,,
21,3.7239,2.1179,2.3472,,2.3901,,
22,3.7339,2.0937,2.2867,,2.3901,,
23,3.7439,2.0937,2.2867,,2.3901,,
24,3.7539,2.0937,2.2867,,2.388,,
25,3.7639,2.0937,2.2867,,2.388,,
26,3.7739,2.0689,2.2624,,2.388,,
27,3.7839,2.0689,2.2624,,2.3456,,
28,3.7939,2.0689,2.2624,,2.3456,,
29,3.8039,2.0433,2.2639,,2.3456,,
30,3.8139,2.0433,2.2639,,2.3184,,
31,3.8239,2.0433,2.2639,,2.3184,,
32,3.8339,2.0171,2.2567,,2.3184,,
33,3.8439,2.0171,2.2567,,2.3184,,
34,3.8539,2.0171,2.2567,,2.2794,,
35,3.8639,2.0171,2.2056,,2.2794,,
36,3.8739,1.9902,2.2056,,2.2794,,
37,3.8839,1.9902,2.2056,,2.2354,,
38,3.8939,1.9902,2.2056,,2.2354,,
39,3.9039,1.963,2.1692,,2.2354,,
40,3.9139,1.963,2.1692,,2.2324,,
41,3.9239,1.963,2.1692,,2.2324,,
42,3.9339,1.9355,2.1641,,2.2324,,
43,3.9439,1.9355,2.1641,,2.1956,,
44,3.9539,1.9355,2.1641,,2.1956,,
45,3.9639,1.9355,2.1641,,2.1956,,
46,3.9739,1.9083,2.1641,,2.1956,,
47,3.9839,1.9083,2.1641,,2.1197,,
48,3.9939,1.9083,2.1097,,2.1197,,
49,4.0039,1.8812,2.1097,,2.1197,,
50,4.0139,1.8812,2.0395,,2.1197,,
51,4.0239,1.8812,2.0395,,2.0791,,
52,4.0339,1.8547,2.0395,,2.0791,,
53,4.0439,1.8547,1.9909,,2.1023,,
54,4.0539,1.8547,1.9909,,2.1023,,1.9668
55,4.0639,1.8547,1.9909,,2.1023,,1.9668
56,4.0739,1.8288,2.0169,,2.1023,,1.9668
57,4.0839,1.8288,2.0169,,2.0823,,1.9668
58,4.0939,1.8288,2.0169,,2.0823,,1.9668
59,4.1039,1.8034,2.0169,,2.0823,,1.9668
60,4.1139,1.8034,1.9651,,1.9972,,1.9668
61,4.1239,1.8034,1.9651,,1.9972,,1.9668
62,4.1339,1.7785,1.8531,,1.9972,,1.9668
63,4.1439,1.7785,1.8531,,1.9273,,1.9668
64,4.1539,1.7785,1.8531,,1.9273,,1.9668
65,4.1639,1.7785,1.8631,,1.9273,,1.9668
66,4.1739,1.7537,1.8631,,1.9273,,1.9668
67,4.1839,1.7537,1.8631,,1.8927,,1.8616
68,4.1939,1.7537,1.8631,,1.8927,,1.8616
69,4.2039,1.7291,1.8821,,1.8927,,1.8616
70,4.2139,1.7291,1.8821,,1.8506,,1.8616
71,4.2239,1.7291,1.8821,,1.8506,,1.8616
72,4.2339,1.7043,1.8821,,1.8506,,1.8616
73,4.2439,1.7043,1.8879,,1.8506,,1.8616
74,4.2539,1.7043,1.8879,,1.8381,,1.8616
75,4.2639,1.7043,1.8403,,1.8381,,1.8616
76,4.2739,1.6793,1.8403,,1.8381,,1.7574
77,4.2839,1.6793,1.8403,,1.814,,1.7574
78,4.2939,1.6793,1.7477,,1.814,,1.7574
79,4.3039,1.6539,1.7477,,1.814,,1.7574
80,4.3139,1.6539,1.7477,,1.814,,1.7574
81,4.3239,1.6539,1.7477,,1.7628,,1.7574
82,4.3339,1.6281,1.7477,,1.7628,,1.7574
83,4.3439,1.6281,1.7042,,1.7628,,1.7574
84,4.3539,1.6281,1.7042,,1.762,,1.7574
85,4.3639,1.6281,1.7042,,1.762,,1.7574
86,4.3739,1.6021,1.6924,,1.762,,1.6854
87,4.3839,1.6021,1.6924,,1.7526,,1.6854
88,4.3939,1.6021,,,1.7526,,1.6854
89,4.4039,1.5759,,,1.7526,,1.6854
90,4.4139,1.5759,,,1.7473,,1.6854
91,4.4239,1.5759,,,1.7473,,1.6854
92,4.4339,1.5497,,,1.7473,,1.6854
93,4.4439,1.5497,,,1.7473,,1.6854
94,4.4539,1.5497,,,1.7516,,1.6854
95,4.4639,1.5497,,,1.7516,,1.6854
96,4.4739,1.5236,1.6002,,1.7516,,1.6854
97,4.4839,1.5236,1.6002,,1.7056,,1.6854
98,4.4939,1.5236,1.6002,,1.7056,,1.6854
99,4.5039,1.4978,1.5758,,1.7056,,1.5806
100,4.5139,1.4978,1.5758,,1.664,,1.5806
101,4.5239,1.4978,1.5758,,1.664,,1.5806
102,4.5339,1.4721,1.5758,,1.664,,1.5806
103,4.5439,1.4721,1.5522,,1.664,,1.5806
104,4.5539,1.4721,1.5522,,1.6441,,1.5806
105,4.5639,1.4721,1.5113,,1.6441,,1.5806
