timestamp,distance_tracker,distance_wheelchair_FT,distance_wheelchair_v5,distance_drone_FT,distance_drone_v5,distance_range
1.81,3.1545,,,3.3747,,
1.82,3.1545,,,3.3747,,
1.83,3.1545,,,3.3747,,
1.84,3.1488,,,3.3667,,
1.85,3.1488,,,3.3667,,
1.86,3.1488,,,3.3667,,
1.87,3.143,,,3.3667,,
1.88,3.143,,,,,
1.89,3.143,,,,,
1.9,3.143,,,,,
1.91,3.1382,,,,,
1.92,3.1382,,,,,
1.93,3.1382,,,,,
1.94,3.134,,,3.3427,,
1.95,3.134,,,3.3427,,
1.96,3.134,,,3.3427,,
1.97,3.1312,,,3.3427,,
1.98,3.1312,,,3.3381,,
1.99,3.1312,,,3.3381,,
2.0,3.1312,,,3.3381,,
2.01,3.1288,,,3.3325,,
2.02,3.1288,,,3.3325,,
2.03,3.1288,,,3.3325,,
2.04,3.1274,,,3.3325,,
2.05,3.1274,,,3.3183,,
2.06,3.1274,,,3.3183,,
2.07,3.126,,,3.3183,,
2.08,3.126,,,3.3092,,
2.09,3.126,,,3.3092,,
2.1,3.126,,,3.3092,,
2.11,3.1248,,,3.3092,,
2.12,3.1248,,,3.3091,,
2.13,3.1248,,,3.3091,,
2.14,3.1226,,,3.3091,,
2.15,3.1226,,,3.3147,,
2.16,3.1226,,,3.3147,,
2.17,3.12,,,3.3147,,
2.18,3.12,,,3.3134,,
2.19,3.12,,,3.3134,,
2.2,3.12,,,3.3134,,
2.21,3.1168,,,3.3134,,
2.22,3.1168,,,3.3134,,
2.23,3.1168,,,3.309,,
2.24,3.1124,,,3.309,,
2.25,3.1124,,,3.3147,,
2.26,3.1124,,,3.3147,,
2.27,3.1081,,,3.3147,,
2.28,3.1081,,,3.3196,,
2.29,3.1081,,,3.3196,,
2.3,3.1032,,,3.3196,,
2.31,3.1032,,,,,
2.32,3.1032,,,,,
2.33,3.1032,,,,,
2.34,3.0989,,,,,
2.35,3.0989,,,,,
2.36,3.0989,,,,,
2.37,3.0945,,,,,
2.38,3.0945,,,,,
2.39,3.0945,,,,,
2.4,3.0945,,,,,
2.41,3.0909,,,,,
2.42,3.0909,,,,,
2.43,3.0909,,,,,
2.44,3.0874,,,3.3142,,
2.45,3.0874,,,3.3142,,
2.46,3.0874,,,3.3142,,
2.47,3.0848,,,3.3142,,
2.48,3.0848,,,3.3051,,
2.49,3.0848,,,3.3051,,
2.5,3.0848,,,3.3051,,
2.51,3.0823,,,3.2881,,
2.52,3.0823,,,3.2881,,
2.53,3.0823,,,3.2881,,
2.54,3.0803,,,3.2881,,
2.55,3.0803,,,3.286,,
2.56,3.0803,,,3.286,,
2.57,3.0784,,,3.286,,
2.58,3.0784,,,3.282,,
2.59,3.0784,,,3.282,,
2.6,3.0752,,,3.282,,
2.61,3.0752,,,3.275,,
2.62,3.0752,,,3.275,,
2.63,3.0752,,,3.275,,
2.64,3.0707,,,3.275,,
2.65,3.0707,,,3.275,,
2.66,3.0707,,,3.275,,
2.67,3.0647,,,3.2731,,
2.68,3.0647,,,3.2731,,
2.69,3.0647,,,3.2649,,
2.7,3.0568,,,3.2649,,
