timestamp,distance_tracker,distance_wheelchair_FT,distance_wheelchair_v5,distance_drone_FT,distance_drone_v5,distance_range
2.4469,3.1014,,,3.352,,
2.4569,3.1014,,,3.352,,
2.4669,3.0796,,,3.352,,
2.4769,3.0796,,,3.3437,,
2.4869,3.0796,,,3.3437,,
2.4969,3.0796,,,3.3437,,
2.5069,3.0556,,,3.3437,,
2.5169,3.0556,,,3.3264,,
2.5269,3.0556,,,3.3264,,
2.5369,3.0287,,,3.3264,,
2.5469,3.0287,,,3.2746,,
2.5569,3.0287,,,3.2746,,
2.5669,3.0001,,,3.2746,,
2.5769,3.0001,,,3.2746,,
2.5869,3.0001,,,3.2236,,
2.5969,3.0001,,,3.2236,,
2.6069,2.9707,,,3.2236,,
2.6169,2.9707,,,3.1987,,
2.6269,2.9707,,,3.1987,,
2.6369,2.9404,,,3.1987,,
2.6469,2.9404,,,3.1787,,
2.6569,2.9404,,,3.1787,,
2.6669,2.9103,,,3.1787,,
2.6769,2.9103,,,3.172,,
2.6869,2.9103,,,3.172,,
2.6969,2.9103,,,3.172,,
2.7069,2.8813,,,3.172,,
2.7169,2.8813,,,3.172,,
2.7269,2.8813,,,3.1522,,
2.7369,2.8532,,,3.1522,,
2.7469,2.8532,,,3.1211,,
2.7569,2.8532,,,3.1211,,
2.7669,2.8271,,,3.1211,,
2.7769,2.8271,,,3.1008,,
2.7869,2.8271,,,3.1008,,
2.7969,2.8271,,,3.1008,,
2.8069,2.8016,,,3.1008,,
2.8169,2.8016,,,3.073,,
2.8269,2.8016,,,3.073,,
2.8369,2.7775,,,3.073,,
2.8469,2.7775,,,3.0543,,
2.8569,2.7775,,,3.0543,,
2.8669,2.7538,,,3.0543,,
2.8769,2.7538,,,3.0231,,
2.8869,2.7538,,,3.0231,,
2.8969,2.7538,,,3.0231,,
2.9069,2.7304,,,3.0231,,
2.9169,2.7304,,,3.0231,,
2.9269,2.7304,,,2.9767,,
2.9369,2.7065,,,2.9767,,
2.9469,2.7065,,,2.9392,,
2.9569,2.7065,,,2.9392,,
2.9669,2.6822,,,2.9392,,
2.9769,2.6822,,,2.8874,,
2.9869,2.6822,,,2.8874,,
2.9969,2.6822,,,2.8874,,
3.0069,2.6566,,,2.8874,,
3.0169,2.6566,,,2.8393,,
3.0269,2.6566,,,2.8393,,
3.0369,2.6306,,,2.8393,,
3.0469,2.6306,,,2.8203,,
3.0569,2.6306,,,2.8203,,
3.0669,2.6035,,,2.8203,,
3.0769,2.6035,,,2.8137,,
3.0869,2.6035,,,2.8137,,
3.0969,2.6035,,,2.8137,,
3.1069,2.5764,,,2.8137,,
3.1169,2.5764,,,2.7885,,
3.1269,2.5764,,,2.7885,,
3.1369,2.5486,,,2.7885,,
3.1469,2.5486,,,2.7724,,
3.1569,2.5486,,,2.7724,,
3.1669,2.5486,,,2.7724,,
3.1769,2.5214,,,2.7724,,
3.1869,2.5214,,,2.7612,,
3.1969,2.5214,,,2.7612,,
3.2069,2.494,,,2.724,,
3.2169,2.494,,,2.724,,
3.2269,2.494,,,2.724,,
3.2369,2.4676,,,2.724,,
3.2469,2.4676,,,2.68,,
3.2569,2.4676,,,2.68,,
3.2669,2.4413,,,2.68,,
3.2769,2.4413,,,2.68,,
3.2869,2.4413,,,2.6531,,
3.2969,2.4413,,,2.6531,,
3.3069,2.4159,,,2.6531,,
3.3169,2.4159,,,,,
3.3269,2.4159,,,,,
3.3369,2.3905,,,,,
3.3469,2.3905,,,,,
3.3569,2.3905,,,,,
3.3669,2.3658,,,,,
3.3769,2.3658,,,,,
3.3869,2.3658,,,,,
3.3969,2.3658,,,,,
3.4069,2.341,,,,,
3.4169,2.341,,,2.6471,,
3.4269,2.341,,,2.6471,,
3.4369,2.3163,,,2.6471,,
3.4469,2.3163,,,2.5847,,
3.4569,2.3163,,,2.5847,,
3.4669,2.3163,,,2.5847,,
3.4769,2.2909,,,2.5229,,
3.4869,2.2909,,,2.5229,,
3.4969,2.2909,,,2.5229,,
3.5069,2.2655,,,2.5229,,
3.5169,2.2655,,,2.4725,,
3.5269,2.2655,,,2.4725,,
3.5369,2.2391,,,2.4725,,
3.5469,2.2391,,,2.4382,,
3.5569,2.2391,,,2.4382,,
3.5669,2.2391,,,2.4382,,
3.5769,2.213,,,2.4382,,
3.5869,2.213,,,2.4306,,
3.5969,2.213,,,2.4306,,
3.6069,2.1862,,,2.4306,,
3.6169,2.1862,,,2.4306,,
3.6269,2.1862,,,2.4124,,
3.6369,2.1597,,,2.4124,,
3.6469,2.1597,,,2.3587,,
3.6569,2.1597,,,2.3587,,
3.6669,2.1331,,,2.3587,,
3.6769,2.1331,,,2.3587,,
3.6869,2.1331,,,2.323,,
3.6969,2.1331,,,2.323,,
3.7069,2.107,,,2.323,,
3.7169,2.107,,,2.2909,,
3.7269,2.107,,,2.2909,,
3.7369,2.0807,,,2.2909,,
3.7469,2.0807,,,2.2322,,
3.7569,2.0807,,,2.2322,,
3.7669,2.0807,,,2.2322,,
3.7769,2.0553,,,2.2322,,
3.7869,2.0553,,,2.2322,,
3.7969,2.0553,,,2.2322,,
3.8069,2.0298,,,2.1958,,
3.8169,2.0298,,,2.1935,,
3.8269,2.0298,,,2.1935,,
3.8369,2.005,,,2.1935,,
3.8469,2.005,,,2.1921,,
3.8569,2.005,,,2.1921,,
3.8669,2.005,,,2.1921,,
3.8769,1.9801,,,2.146,,
3.8869,1.9801,,,2.146,,
3.8969,1.9801,,,2.146,,
3.9069,1.9555,,,2.146,,
3.9169,1.9555,,,2.0748,,
3.9269,1.9555,,,2.0748,,
3.9369,1.9304,,,2.0748,,
3.9469,1.9304,,,,,
3.9569,1.9304,,,,,
3.9669,1.9304,,,,,
3.9769,1.9057,,,,,
3.9869,1.9057,,,,,
3.9969,1.9057,1.9135,,,,
4.0069,1.8802,1.9135,,,,
4.0169,1.8802,1.9135,,,,
4.0269,1.8802,1.9135,,,,
4.0369,1.8551,1.8869,,,,
4.0469,1.8551,1.8869,,,,
4.0569,1.8551,1.8869,,,,
4.0669,1.8292,1.8388,,,,
4.0769,1.8292,1.8388,,,,
4.0869,1.8292,1.8388,,,,
4.0969,1.8292,1.8388,,,,
4.1069,1.8038,1.8042,,1.8653,,
4.1169,1.8038,1.8042,,1.8653,,
4.1269,1.8038,1.8042,,1.8653,,
4.1369,1.778,1.7727,,1.8653,,
4.1469,1.778,1.7727,,1.8556,,
4.1569,1.778,1.7727,,1.8556,,
4.1669,1.7527,1.7451,,1.8556,,
4.1769,1.7527,1.7451,,1.8532,,
4.1869,1.7527,1.7451,,1.8532,,
4.1969,1.7527,1.717,,1.8532,,
4.2069,1.7275,1.717,,1.8333,,
4.2169,1.7275,1.717,,1.8333,,
4.2269,1.7275,1.6976,,1.8333,,
4.2369,1.7026,1.6976,,1.8333,,
4.2469,1.7026,1.6976,,1.793,,
4.2569,1.7026,1.6976,,1.793,,
4.2669,1.6776,1.6976,,1.793,,
4.2769,1.6776,1.6652,,1.7679,,
4.2869,1.6776,1.6652,,1.7679,,
4.2969,1.6776,1.6652,,1.7679,,
4.3069,1.6531,1.6241,,1.7679,,
4.3169,1.6531,1.6241,,1.763,,
4.3269,1.6531,1.6241,,1.763,,
4.3369,1.6285,,,1.763,,
4.3469,1.6285,,,,,
4.3569,1.6285,,,,,
4.3669,1.6042,,1.7184,,,
4.3769,1.6042,,1.7184,,,
4.3869,1.6042,,1.7184,,,
4.3969,1.6042,,1.7184,,,
4.4069,1.5797,,1.6556,,,
4.4169,1.5797,,1.6556,1.6678,,
4.4269,1.5797,,1.6215,1.6678,,
4.4369,1.5557,,1.6215,1.6678,,
4.4469,1.5557,,1.6215,,,
4.4569,1.5557,,1.6215,,,
4.4669,1.5557,,1.6215,,,
4.4769,1.531,,1.5767,,,
4.4869,1.531,,1.5767,,,
4.4969,1.531,,1.5377,,,
4.5069,1.507,,1.5377,,,
4.5169,1.507,,1.5377,,,
4.5269,1.507,,1.5377,,,
4.5369,1.4825,,1.504,,,
4.5469,1.4825,,1.504,,,
4.5569,1.4825,,1.504,,,
4.5669,1.4583,,1.4833,,,
4.5769,1.4583,,1.4833,,,
4.5869,1.4583,,1.4833,,,
4.5969,1.4583,,1.4833,,,
4.6069,1.434,,1.4575,,,
4.6169,1.434,,1.4575,,,
4.6269,1.434,,1.4575,,,
4.6369,1.41,,1.4137,,,
4.6469,1.41,,1.4137,,,
4.6569,1.41,,1.4137,,,
4.6669,1.3858,,1.3722,,,
4.6769,1.3858,,1.3722,,,
4.6869,1.3858,,1.3722,,,
4.6969,1.3858,,1.3449,,,
4.7069,1.3621,,1.3449,,,
4.7169,1.3621,,1.3449,,,
4.7269,1.3621,,1.3449,,,
4.7369,1.3381,,1.327,,,
4.7469,1.3381,,1.327,,1.4053,
4.7569,1.3381,,1.327,,1.4053,
4.7669,1.3146,,,,1.4053,
4.7769,1.3146,,,,1.4154,
4.7869,1.3146,,,,1.4154,
