,timestamp,distance_tracker,distance_wheelchair_FT,distance_wheelchair_v5,distance_drone_FT,distance_drone_v5,distance_range
0,3.3169,2.4159,,,2.502,,
1,3.3269,2.4159,,,2.502,,
2,3.3369,2.3905,,,2.502,,
3,3.3469,2.3905,,,,,
4,3.3569,2.3905,,,,,
5,3.3669,2.3658,,,,,
6,3.3769,2.3658,,,,,
7,3.3869,2.3658,,,,,
8,3.3969,2.3658,,,,,
9,3.4069,2.341,,,,,
10,3.4169,2.341,,,,,
11,3.4269,2.341,,,,,
12,3.4369,2.3163,,,,,
13,3.4469,2.3163,,,,,
14,3.4569,2.3163,,,,,
15,3.4669,2.3163,,,,,
16,3.4769,2.2909,,,,,
17,3.4869,2.2909,,,,,
18,3.4969,2.2909,,,,,
19,3.5069,2.2655,,,,,
20,3.5169,2.2655,,,2.3754,,
21,3.5269,2.2655,,,2.3754,,
22,3.5369,2.2391,,,2.3754,,
23,3.5469,2.2391,,,2.3698,,
24,3.5569,2.2391,,,2.3698,,
25,3.5669,2.2391,,,2.3698,,
26,3.5769,2.213,,,2.3698,,
27,3.5869,2.213,,,2.3261,,
28,3.5969,2.213,,,2.3261,,
29,3.6069,2.1862,,,2.3261,,
30,3.6169,2.1862,,,2.3261,,
31,3.6269,2.1862,,,2.2766,,
32,3.6369,2.1597,,,2.2766,,
33,3.6469,2.1597,,,,,
34,3.6569,2.1597,,,,,
35,3.6669,2.1331,,,,,
36,3.6769,2.1331,,,,,
37,3.6869,2.1331,,,,,
38,3.6969,2.1331,,,,,
39,3.7069,2.107,,,,,
40,3.7169,2.107,,,2.1807,,
41,3.7269,2.107,,,2.1807,,
42,3.7369,2.0807,,,2.1807,,
43,3.7469,2.0807,,,2.1313,,
44,3.7569,2.0807,,,2.1313,,
45,3.7669,2.0807,,,2.1313,,
46,3.7769,2.0553,,,2.1313,,
47,3.7869,2.0553,,,2.1313,,
48,3.7969,2.0553,,,2.1313,,
49,3.8069,2.0298,,,2.0984,,
50,3.8169,2.0298,,,,,
51,3.8269,2.0298,,,,,
52,3.8369,2.005,,,,,
53,3.8469,2.005,,,,,
54,3.8569,2.005,,,,,
55,3.8669,2.005,,,,,
56,3.8769,1.9801,,,,,
57,3.8869,1.9801,,,,,
58,3.8969,1.9801,,,,,
59,3.9069,1.9555,,,,,
60,3.9169,1.9555,,,,,
61,3.9269,1.9555,,,,,
62,3.9369,1.9304,,,,,
63,3.9469,1.9304,,,,,
64,3.9569,1.9304,,,,,
65,3.9669,1.9304,,,,,
66,3.9769,1.9057,,,,,
67,3.9869,1.9057,,,,,
68,3.9969,1.9057,,,,,
69,4.0069,1.8802,,,,,
70,4.0169,1.8802,,,,,
71,4.0269,1.8802,,,,,
72,4.0369,1.8551,,,,,
73,4.0469,1.8551,,,,,
74,4.0569,1.8551,,,,,
75,4.0669,1.8292,,,,,
76,4.0769,1.8292,,,,,
77,4.0869,1.8292,,,,,
78,4.0969,1.8292,,,,,
79,4.1069,1.8038,,,,,
80,4.1169,1.8038,,,,,
81,4.1269,1.8038,,,,,
82,4.1369,1.778,,,,,
83,4.1469,1.778,,,,,
84,4.1569,1.778,,,,,
85,4.1669,1.7527,,,,,
86,4.1769,1.7527,,,,,
